popsize,genenumber,generationnumber,viabilityratio0,viabilityratio1,viabilityratio2,viabilityratio3,viabilityratio4
100,5,0,0.6,0.68,0.74,0.68,0.68
100,5,1,0.69,0.72,0.77,0.71,0.74
100,5,2,0.72,0.72,0.8,0.78,0.74
100,5,3,0.73,0.77,0.81,0.82,0.76
100,5,4,0.81,0.8,0.92,0.87,0.72
100,5,5,0.87,0.82,0.94,0.94,0.78
100,5,6,0.88,0.82,0.95,0.89,0.77
100,5,7,0.93,0.87,0.92,0.93,0.73
100,5,8,0.96,0.81,0.96,0.95,0.7
100,5,9,0.97,0.82,0.99,0.95,0.77
100,5,10,0.95,0.9,0.99,1.0,0.87
100,5,11,0.96,0.91,0.98,0.96,0.83
100,5,12,1.0,0.87,0.98,0.96,0.9
100,5,13,0.96,0.9,1.0,0.93,0.82
100,5,14,0.96,0.92,1.0,0.97,0.8
100,5,15,0.97,0.93,1.0,0.92,0.85
100,5,16,0.98,0.93,0.99,0.96,0.83
100,5,17,0.99,0.94,1.0,0.96,0.89
100,5,18,0.97,0.92,1.0,0.99,0.86
100,5,19,0.99,0.96,0.99,0.97,0.91
100,5,20,1.0,0.96,0.99,0.98,0.88
100,5,21,1.0,0.95,1.0,0.96,0.93
100,5,22,1.0,0.95,1.0,0.96,0.92
100,5,23,0.99,0.96,1.0,0.99,0.86
100,5,24,1.0,0.97,1.0,1.0,0.88
100,5,25,1.0,0.96,1.0,0.97,0.88
100,5,26,1.0,0.98,1.0,0.95,0.84
100,5,27,0.98,0.97,1.0,0.93,0.84
100,5,28,0.98,0.94,1.0,0.94,0.82
100,5,29,0.99,0.94,1.0,0.99,0.9
100,5,30,0.97,0.99,1.0,0.97,0.94
100,5,31,0.99,0.97,1.0,0.96,0.95
100,5,32,0.97,0.96,1.0,0.96,0.88
100,5,33,0.94,0.97,1.0,0.98,0.97
100,5,34,0.99,0.95,1.0,0.96,0.93
100,5,35,0.99,0.98,1.0,1.0,0.96
100,5,36,0.97,0.98,1.0,1.0,0.94
100,5,37,0.97,0.99,1.0,0.98,0.92
100,5,38,0.97,0.95,1.0,0.94,0.94
100,5,39,0.96,0.98,1.0,0.95,0.98
100,5,40,0.91,0.97,1.0,0.96,0.98
100,5,41,0.92,0.98,1.0,1.0,1.0
100,5,42,0.93,0.99,1.0,0.99,0.99
100,5,43,0.95,0.99,1.0,0.99,0.98
100,5,44,0.96,0.98,1.0,0.98,1.0
100,5,45,0.95,0.99,1.0,0.99,0.99
100,5,46,0.92,0.99,1.0,0.97,1.0
100,5,47,0.97,0.98,1.0,0.99,1.0
100,5,48,0.98,0.98,1.0,0.97,1.0
100,5,49,0.99,0.99,1.0,0.99,1.0
100,5,50,0.95,1.0,1.0,0.99,1.0
100,5,51,0.96,0.99,1.0,1.0,0.99
100,5,52,0.94,0.96,1.0,0.97,0.98
100,5,53,0.94,0.97,1.0,0.97,0.98
100,5,54,0.99,0.97,1.0,0.98,0.97
100,5,55,0.97,1.0,1.0,0.98,0.99
100,5,56,0.93,0.97,1.0,0.97,0.99
100,5,57,0.96,0.97,1.0,0.97,0.98
100,5,58,0.93,0.99,1.0,0.96,0.98
100,5,59,0.96,0.99,1.0,1.0,0.97
100,5,60,0.95,0.97,1.0,0.98,0.99
100,5,61,0.95,0.99,1.0,0.98,0.98
100,5,62,0.95,0.96,1.0,0.97,0.98
100,5,63,0.95,0.97,1.0,0.98,1.0
100,5,64,0.95,0.99,1.0,1.0,1.0
100,5,65,0.96,0.99,1.0,0.98,1.0
100,5,66,0.99,1.0,1.0,1.0,0.99
100,5,67,0.98,1.0,1.0,1.0,1.0
100,5,68,0.98,1.0,1.0,1.0,1.0
100,5,69,0.99,1.0,1.0,1.0,1.0
100,5,70,0.99,0.99,1.0,0.99,1.0
100,5,71,0.98,1.0,1.0,1.0,1.0
100,5,72,0.99,1.0,1.0,0.99,1.0
100,5,73,1.0,1.0,1.0,1.0,1.0
100,5,74,1.0,1.0,1.0,1.0,1.0
100,5,75,1.0,1.0,1.0,0.99,1.0
100,5,76,1.0,1.0,1.0,1.0,1.0
100,5,77,1.0,1.0,1.0,1.0,1.0
100,5,78,1.0,1.0,1.0,1.0,1.0
100,5,79,1.0,1.0,1.0,1.0,1.0
100,5,80,0.99,1.0,1.0,0.99,1.0
100,5,81,1.0,1.0,1.0,1.0,1.0
100,5,82,0.99,1.0,1.0,1.0,1.0
100,5,83,1.0,1.0,1.0,1.0,1.0
100,5,84,0.98,1.0,1.0,1.0,1.0
100,5,85,0.96,1.0,1.0,1.0,1.0
100,5,86,0.98,1.0,1.0,1.0,1.0
100,5,87,0.98,1.0,1.0,1.0,1.0
100,5,88,1.0,1.0,1.0,0.98,1.0
100,5,89,1.0,1.0,1.0,0.99,1.0
100,5,90,0.97,1.0,1.0,0.99,1.0
100,5,91,0.95,1.0,1.0,1.0,1.0
100,5,92,0.94,1.0,1.0,1.0,1.0
100,5,93,0.98,1.0,1.0,1.0,1.0
100,5,94,1.0,1.0,1.0,1.0,1.0
100,5,95,1.0,1.0,1.0,1.0,1.0
100,5,96,0.96,1.0,1.0,1.0,1.0
100,5,97,0.96,1.0,1.0,1.0,1.0
100,5,98,0.97,1.0,1.0,1.0,1.0
100,5,99,0.96,1.0,1.0,1.0,1.0
100,5,100,0.99,1.0,1.0,1.0,1.0
100,5,101,0.97,1.0,1.0,1.0,1.0
100,5,102,0.98,1.0,1.0,1.0,1.0
100,5,103,1.0,1.0,1.0,1.0,1.0
100,5,104,0.99,1.0,1.0,1.0,1.0
100,5,105,1.0,1.0,1.0,1.0,1.0
100,5,106,1.0,1.0,1.0,1.0,1.0
100,5,107,0.99,1.0,1.0,1.0,1.0
100,5,108,1.0,1.0,1.0,1.0,1.0
100,5,109,1.0,1.0,1.0,1.0,1.0
100,5,110,1.0,1.0,1.0,1.0,1.0
100,5,111,0.99,1.0,1.0,1.0,1.0
100,5,112,1.0,1.0,1.0,1.0,1.0
100,5,113,0.99,1.0,1.0,1.0,1.0
100,5,114,0.99,1.0,1.0,1.0,1.0
100,5,115,0.99,1.0,1.0,1.0,1.0
100,5,116,0.97,1.0,1.0,1.0,1.0
100,5,117,0.95,1.0,1.0,1.0,1.0
100,5,118,0.96,1.0,1.0,1.0,1.0
100,5,119,0.98,1.0,1.0,1.0,1.0
100,5,120,0.99,1.0,1.0,1.0,1.0
100,5,121,0.97,1.0,1.0,1.0,1.0
100,5,122,0.96,1.0,1.0,1.0,1.0
100,5,123,0.99,1.0,1.0,1.0,1.0
100,5,124,0.98,1.0,1.0,1.0,1.0
100,5,125,0.98,1.0,1.0,1.0,1.0
100,5,126,0.99,1.0,1.0,1.0,1.0
100,5,127,1.0,1.0,1.0,1.0,1.0
100,5,128,1.0,1.0,1.0,1.0,1.0
100,5,129,1.0,1.0,1.0,1.0,1.0
100,5,130,1.0,1.0,1.0,1.0,1.0
100,5,131,1.0,1.0,1.0,1.0,1.0
100,5,132,1.0,1.0,1.0,1.0,1.0
100,5,133,1.0,1.0,1.0,1.0,1.0
