generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,66.6,32.35,7.95,-14.25,21.7,18.75,78.45,17.2,-32.55,-3.25,10.65,43.1,73.5,-30.15,0.65,-35.3,29.4,77.15,74.9,-11.1,9.6,-41.4,50.95,-27.45,52.45,2296.46315789,2060.34473684,3745.94473684,9136.93421053,9917.90526316,16153.7763158,8325.20789474,3013.43157895,7527.20789474,5858.19736842,11566.0289474,14673.4631579,6333.10526316,7775.29210526,6139.18684211,15028.3263158,7070.04210526,10427.7131579,5623.56842105,14817.3578947,3915.41052632,6578.25263158,9242.68157895,10226.05,5040.57631579
1,63.1,28.95,-3.6,-37.6,75.6,53.2,142.05,28.3,-14.35,-33.9,22.05,62.65,58.95,-10.7,-6.0,-21.75,24.1,86.7,93.75,-33.65,27.4,-38.85,49.9,-19.75,74.6,1323.35789474,1550.15526316,2774.35789474,7271.41052632,3134.14736842,13715.2210526,6470.26052632,2359.06315789,6821.71315789,1992.62105263,11171.2078947,22415.3973684,4680.05,8786.95789474,4652.31578947,23488.1973684,7238.41052632,10122.6421053,4167.88157895,12307.9236842,3494.98947368,8174.23947368,8780.30526316,10986.7236842,4679.41052632
2,66.1,37.15,4.35,-37.7,82.85,110.35,157.5,36.6,15.4,-44.8,18.3,29.4,56.8,-38.9,-15.65,-55.3,51.15,71.7,109.4,-42.1,26.2,-65.25,80.35,-72.3,57.8,1223.67368421,878.660526316,2077.39736842,8390.01052632,2927.18684211,3697.71315789,7825.42105263,3097.2,1799.62105263,1094.06315789,10841.3789474,27678.3578947,4923.01052632,3405.67368421,5220.97631579,14792.0105263,4239.08157895,9513.69473684,1437.41052632,9528.30526316,779.852631579,4214.09210526,3292.13421053,7931.37894737,2985.32631579
3,69.3,45.55,3.75,-38.45,85.55,117.05,154.25,44.55,23.2,-52.8,-8.0,77.25,48.3,-25.55,-41.5,-81.25,55.2,71.7,107.7,-26.0,29.25,-89.0,81.4,-86.15,52.2,1577.69473684,821.628947368,918.934210526,9498.68157895,2572.99736842,1117.20789474,7348.09210526,3253.73421053,1857.74736842,1261.53684211,10340.8421053,15616.7236842,4562.01052632,3845.52368421,3887.31578947,9811.67105263,3806.16842105,8654.22105263,1260.43157895,10841.7894737,754.934210526,4276.52631579,1157.93684211,8555.92368421,2477.11578947
4,66.55,42.05,9.65,-38.05,93.65,125.4,169.0,40.8,28.6,-46.2,30.6,67.95,68.4,-28.25,-18.85,-83.25,68.05,86.35,111.55,-11.3,34.95,-81.1,77.8,-112.9,45.15,1198.05,466.471052632,1618.23947368,9511.52368421,1829.50263158,569.094736842,7039.57894737,3130.27368421,421.305263158,932.378947368,5910.14736842,22580.05,2000.98947368,1734.40789474,3787.29210526,10139.0394737,2604.26052632,8933.81842105,1250.47105263,13307.3789474,613.207894737,902.094736842,748.905263158,1434.83157895,1502.97631579
5,60.1,37.2,9.95,-44.2,98.65,128.25,174.35,36.1,26.25,-43.15,64.4,81.9,75.2,-11.4,-3.15,-85.35,64.15,97.35,106.95,-19.35,38.7,-77.2,79.85,-107.45,54.8,747.568421053,69.5368421053,1616.47105263,10124.9052632,975.292105263,453.144736842,7105.18684211,3075.35789474,336.828947368,766.555263158,4222.14736842,28966.9368421,1867.11578947,351.831578947,2759.92368421,10118.5552632,2626.13421053,8816.87105263,1150.78684211,13349.2921053,671.589473684,1504.37894737,1059.29210526,1449.52368421,2022.16842105
6,59.6,36.0,-5.0,-26.4,101.6,128.65,154.05,48.6,25.35,-40.15,68.6,44.2,61.75,-17.35,5.35,-109.9,73.55,84.15,110.6,1.15,38.7,-77.2,79.85,-107.45,54.8,534.568421053,25.2631578947,157.894736842,10720.6736842,940.042105263,461.186842105,8588.15526316,3526.67368421,354.45,871.713157895,4131.41052632,42401.8526316,2293.35526316,446.555263158,3019.29210526,3686.93684211,2078.15526316,8283.92368421,1117.93684211,12965.8184211,671.589473684,1504.37894737,1059.29210526,1449.52368421,2022.16842105
7,64.2,37.0,-7.5,-5.8,107.7,128.85,143.9,54.85,24.9,-38.65,71.7,-49.6,39.55,-26.95,14.65,-117.2,77.9,71.45,115.65,31.2,45.6,-55.0,95.55,-95.85,80.2,467.747368421,22.1052631579,138.157894737,9380.58947368,822.536842105,465.081578947,9004.30526316,3628.97631579,362.621052632,917.186842105,3089.27368421,55360.0421053,2886.89210526,584.786842105,2870.97631579,3409.43157895,1673.14736842,6267.52368421,888.871052632,11853.9578947,816.252631579,3236.21052632,1986.57631579,1575.50263158,3577.95789474
8,71.1,38.5,-11.25,25.1,116.85,137.4,159.95,40.75,17.85,-29.5,73.2,21.4,56.7,-19.7,10.5,-106.4,66.3,95.15,106.85,19.4,40.95,-64.3,86.75,-89.85,79.85,283.989473684,13.4210526316,83.8815789474,5695.35789474,499.397368421,3.83157894737,9868.47105263,3741.77631579,19.3973684211,215.526315789,4035.53684211,47576.2526316,2577.48421053,500.852631579,3025.52631579,3400.67368421,1779.37894737,7134.13421053,922.344736842,15740.7789474,1194.89210526,3212.32631579,2191.77631579,2108.97631579,3066.23947368
9,66.5,37.5,-8.75,4.5,110.75,137.0,180.25,28.25,18.75,-32.5,56.35,65.7,65.8,-15.1,-5.45,-90.7,67.75,97.65,99.95,-3.25,48.0,-50.0,98.85,-92.1,87.65,417.631578947,19.7368421053,123.355263158,8375.52631579,734.407894737,3.15789473684,8133.35526316,3083.88157895,15.9868421053,177.631578947,3678.23947368,35860.3263158,1899.32631579,378.515789474,2765.41842105,4904.53684211,2644.72368421,9095.92368421,981.628947368,17451.9868421,822.315789474,3546.73684211,2165.81842105,1508.2,3634.02894737
