generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,47.9033333333,8.27666666667,12.25,-9.91,-17.6333333333,15.2233333333,50.7533333333,3.24333333333,-3.59,-19.1133333333,8.12,12.09,48.2666666667,-6.15333333333,4.41,-4.70666666667,-6.95333333333,-0.56,43.1166666667,3.67,-2.99666666667,-6.61666666667,-2.09666666667,1.12,54.6133333333,7643.71972129,7488.68908584,9227.19147157,9102.26277592,11942.6008919,11341.6522965,6648.33360089,9781.38875139,10112.0219732,10272.0071795,9650.29993311,9837.08551839,8627.37346711,8832.13025641,10915.8614381,8901.42537347,10656.6667113,9301.61846154,6840.8525641,10384.5562876,9964.86620959,9957.74219621,10273.2849387,7781.06916388,10085.7228986
1,55.0833333333,16.85,14.3166666667,-6.45333333333,-27.3033333333,22.9766666667,62.2733333333,16.4433333333,-11.67,-27.3,14.6466666667,9.18333333333,63.52,-9.75333333333,-6.82333333333,4.73,-0.0333333333333,3.74333333333,49.38,3.64,-4.57333333333,-21.7,-2.89666666667,0.38,69.4366666667,7718.27731327,7384.27508361,9431.51477146,10474.3222297,12079.6434671,12541.0395875,7527.91166109,9192.61550725,9200.61648829,11169.7157191,6613.90818283,8808.5983835,8682.80561873,8523.74497213,10796.881728,8368.41180602,9687.97212932,8581.72988852,7178.71130435,9402.6258194,8923.69694537,9850.52508361,7736.68828317,7143.14608696,9562.84881828
2,61.24,17.8266666667,18.46,-4.25333333333,-14.3166666667,21.6433333333,66.34,14.19,-14.4666666667,-24.17,21.2633333333,16.1,72.27,-13.0133333333,-4.43666666667,0.913333333333,-1.48,3.94333333333,63.59,2.66666666667,0.93,-22.7266666667,3.7,6.16666666667,79.1033333333,7213.07264214,7929.88958751,9663.71411371,9013.0593534,11840.6518952,10934.0228651,8256.17832776,10802.8835117,8665.91527313,9300.42250836,5782.81671126,7640.17725753,8920.73287625,7778.37440357,10003.3504905,8357.4774136,8838.67183946,8936.08707915,6997.42665552,9144.77814939,8635.59040134,8482.11901895,8864.61204013,6388.3400223,9885.9725641
3,69.0866666667,22.7333333333,32.8333333333,-6.22,-13.9833333333,28.1033333333,68.5766666667,15.9333333333,-15.29,-27.0233333333,28.84,19.3833333333,79.0133333333,-15.5833333333,0.613333333333,10.5,3.02333333333,1.08333333333,78.0766666667,11.6633333333,6.82333333333,-25.5533333333,3.45333333333,9.79666666667,100.416666667,8208.45400223,8092.14938685,12722.4336678,8314.70060201,11425.227146,10999.0427982,8693.81684504,10915.9487179,8493.47080268,9010.49109253,5675.05792642,6076.05657748,7394.23393534,7492.19035674,8924.70617614,6623.27424749,8864.05630992,9752.18366778,6122.50580825,10271.2608584,7734.55396878,9218.50885173,8079.64664437,6414.78460424,9892.143534
4,76.1066666667,17.33,39.2033333333,-3.69333333333,-11.9066666667,24.91,78.14,18.9,-11.12,-22.3966666667,29.3433333333,18.3766666667,93.2433333333,-16.4333333333,-0.926666666667,5.29,7.06,1.12666666667,89.5633333333,0.683333333333,14.5766666667,-28.8933333333,9.2,7.34666666667,119.38,8836.39661093,6771.03120401,13047.19932,7151.48423634,11299.8775474,10643.5537458,8938.35491639,10150.0367893,9252.62769231,8751.01604236,5397.74460424,6246.32921962,6539.823534,6304.0122631,10050.1818952,6044.22665552,7842.91946488,9297.62938685,6763.10968785,10002.5381828,7663.83691193,9070.57052397,8189.84615385,6716.45467113,10035.7146488
5,84.2566666667,19.03,36.2333333333,-9.25333333333,-17.11,39.0466666667,83.2,11.94,-20.18,-21.2366666667,37.7266666667,21.7133333333,100.14,-16.2766666667,-5.03333333333,3.49,18.8566666667,2.93,98.1366666667,-14.09,18.04,-24.7533333333,5.62333333333,15.4133333333,122.773333333,8973.73657748,6805.23989967,12766.7480491,7333.38042363,10190.4059197,10345.5228986,8759.59866221,8602.63183946,8136.08120401,8528.51570792,6132.65413601,5670.28544036,5944.72949833,5309.91316611,9412.27313266,5537.58183946,7484.12988852,10033.3763545,5555.44948718,9951.12565217,7607.16227425,9501.4239019,7465.46634337,6064.96570792,9871.0922631
6,91.86,27.6433333333,33.88,-8.73666666667,-17.2566666667,55.3566666667,79.3766666667,15.8166666667,-14.6433333333,-8.34,44.9666666667,19.2066666667,109.9,-20.8866666667,0.0,7.25666666667,17.0366666667,7.85666666667,101.65,-19.8,21.4633333333,-15.0066666667,-4.74666666667,12.1266666667,131.16,8437.67264214,7221.37403567,12581.7982609,6833.55249721,9130.84694537,9308.35731327,9625.52654404,8224.18366778,7199.32052397,7944.11812709,4861.59754738,5865.66952062,5100.9264214,5727.51219621,8453.77926421,4575.73657748,6746.55049052,9546.59142698,5013.43896321,9141.72575251,8043.41336678,9245.55179487,6771.50751394,5866.06416945,8492.41578595
7,96.9033333333,24.62,32.1166666667,-4.28333333333,-13.8833333333,60.2333333333,90.6366666667,5.75666666667,-17.03,-15.0066666667,52.9066666667,20.8866666667,116.033333333,-23.8666666667,-7.25666666667,3.27666666667,21.7433333333,5.56666666667,104.223333333,-28.5966666667,21.0533333333,-15.5,4.39,21.1866666667,127.91,8049.43209588,6560.94541806,13348.6385173,7407.80239688,9041.71544036,7328.91527313,8406.16520624,8205.45564103,5729.6880602,7638.22738016,5478.07821628,5737.5322631,5345.57748049,5505.03232999,8961.48239688,4196.74928651,7803.79008919,9687.47714604,5492.15396878,10252.8033333,7993.24798216,9082.01672241,6919.1216388,5975.30283166,8893.82799331
8,95.3833333333,29.6833333333,36.0166666667,0.283333333333,-8.70333333333,67.6066666667,101.796666667,2.21333333333,-19.2433333333,-10.46,55.2266666667,16.29,120.666666667,-33.8633333333,10.8866666667,6.52333333333,32.87,-7.85333333333,107.98,-32.62,20.99,-22.2833333333,0.306666666667,18.75,130.233333333,8604.69202899,7238.25724638,13917.9428651,7806.73885173,8628.81136009,6648.63406912,8088.52373467,6069.96102564,5689.83691193,7383.35959866,4453.28624303,5855.73167224,4713.90189521,6030.74714604,8023.70617614,4509.54125975,7933.41113712,7445.91152731,5718.11331104,11170.3501003,7875.70892977,9854.46460424,6359.39727982,5424.72993311,6539.79821628
9,109.233333333,30.74,44.86,-11.8966666667,-1.18333333333,78.01,98.3166666667,5.89,-20.1333333333,-4.82333333333,58.65,8.84,120.493333333,-33.4633333333,9.79,4.59666666667,37.2733333333,-5.82,117.283333333,-49.5433333333,18.4733333333,-27.4866666667,-2.34666666667,16.6233333333,126.133333333,8945.12931996,6845.42381271,14147.2913712,6757.02942029,8013.45457079,6412.939699,8979.44119287,6687.02799331,6151.33333333,7630.9151728,4988.77675585,5764.06795987,4269.80931996,5849.05885173,8340.99588629,4710.51570792,8118.9283835,7635.82702341,5632.23717949,10957.7272129,9003.32704571,9739.87607581,5637.57841695,4858.77069119,6806.02898551
