generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,48.22,13.4566666667,11.4033333333,-1.61333333333,-15.64,8.55666666667,44.6333333333,-3.48,8.66333333333,-4.64,10.8466666667,8.62666666667,42.97,-10.4166666667,-1.12,-6.23333333333,-1.77333333333,-10.93,47.7766666667,8.79333333333,5.86666666667,0.626666666667,0.636666666667,-5.26666666667,33.15,8827.46983278,6917.43289855,10324.7230658,10933.997146,11442.331505,13428.5686845,7860.05908584,9315.26046823,10818.1705574,9644.03719064,9250.11687848,11707.8267113,8106.08270903,8841.87597547,9511.59759197,11832.8283166,9544.36316611,8253.04190635,5975.89309922,9484.96049052,8987.92865106,9930.83005574,10049.3558417,8963.50055741,9913.05100334
1,71.8333333333,13.98,16.4766666667,-6.55,-13.8766666667,13.9833333333,45.0733333333,10.01,11.5033333333,-6.85333333333,17.5733333333,9.56333333333,57.4366666667,-6.19333333333,0.24,-12.5833333333,1.82333333333,-2.38,62.6733333333,8.35333333333,10.29,-1.41333333333,-0.913333333333,5.10666666667,40.6066666667,9276.90189521,6235.51799331,10317.7954404,10598.8770903,10857.7472798,13093.5415273,9333.01132664,9490.21729097,9647.58861761,8928.92156076,7290.37253066,9138.62139353,6503.36386845,8856.02269788,8866.16294314,13227.7488852,10027.1894203,8269.43371237,5188.04008919,10606.9917949,9450.09287625,9192.45065775,9253.43727982,8991.33975474,8882.53373467
2,92.7033333333,13.2333333333,21.94,-6.45666666667,-13.5233333333,13.0566666667,60.1666666667,13.8166666667,18.0666666667,-10.8333333333,11.2333333333,9.45,64.9633333333,-16.0866666667,0.456666666667,-17.9133333333,-1.41,-2.67,66.4966666667,8.30666666667,13.78,1.87333333333,-4.82666666667,1.12333333333,41.1733333333,9928.58393534,6081.51059086,10485.6151171,10625.4328986,11448.2837347,13251.7860758,9437.58416945,9274.30406912,9517.54738016,8082.70791527,6966.37346711,9076.8235786,6954.4100223,10322.9356076,7711.25898551,11890.5342698,10076.2962207,7861.00444816,4730.08360089,9391.83875139,9319.63036789,9096.25146042,9047.14042363,8245.71383501,9138.33774805
3,103.213333333,7.87666666667,26.2533333333,-15.5066666667,-10.5933333333,12.3533333333,71.45,4.33333333333,22.8133333333,-5.03,9.25,11.0266666667,73.53,-26.1233333333,5.17,-16.26,1.53,-2.47333333333,69.18,5.91666666667,20.83,-0.853333333333,-11.6433333333,1.85,61.2566666667,9911.52624303,5950.12855072,9953.59447046,9952.75246377,11088.395942,13729.6540022,9712.27508361,10703.8550725,8706.11888517,8308.39040134,6388.74331104,8834.3471126,6063.50745819,11674.5967781,6607.01782609,12750.9689632,9889.179699,7175.98925307,4128.28856187,8878.56493868,9029.60645485,10074.9416276,8685.12654404,7760.04765886,8951.15463768
4,106.596666667,-0.223333333333,24.89,-19.6466666667,-7.98333333333,11.7566666667,89.7566666667,9.94333333333,33.8966666667,-10.13,18.2866666667,15.5566666667,79.31,-20.0133333333,9.11333333333,-27.78,-1.71333333333,-8.02333333333,67.3866666667,6.91666666667,30.7066666667,-12.31,-12.8933333333,-6.66,75.0566666667,8937.09764771,6123.92654404,8970.96779264,9831.3864437,11862.5181159,14980.552631,10637.1747046,10111.2576477,8915.02273133,7793.84591973,6678.06470457,8980.44828317,6137.98719064,12320.4948049,6468.04731327,11731.8109699,8939.54296544,7097.45430323,4017.76972129,8642.61845039,9474.34845039,9576.93702341,10266.0354069,6667.52280936,9263.06366778
5,112.266666667,-1.12,31.53,-23.08,1.85333333333,13.52,92.8833333333,6.86333333333,28.95,-16.2366666667,23.8233333333,18.9666666667,88.42,-16.8733333333,6.23,-31.6933333333,-2.44666666667,-12.9733333333,66.12,4.79333333333,38.6766666667,-1.76666666667,-8.15,-6.91666666667,81.4933333333,8224.69119287,5326.52735786,8371.27334448,8083.44508361,11693.9382832,15510.8323746,11206.143534,10144.6735674,10071.0777592,7283.34513935,6499.32319955,7962.66778149,5907.84976589,12332.6594872,6246.72618729,11476.8287179,8156.13426979,6894.86216276,3866.48053512,8391.42871795,9711.93189521,9057.48383501,8930.97073579,6473.48132664,9556.6922631
6,116.923333333,2.06333333333,32.5533333333,-31.51,4.88333333333,18.6333333333,100.746666667,6.07,29.4266666667,-18.5666666667,10.4366666667,14.1133333333,93.6733333333,-17.5166666667,12.0966666667,-31.26,-6.53666666667,-10.3433333333,72.52,7.45666666667,43.6066666667,-2.06333333333,-5.64,-9.55,85.9633333333,7531.74326644,4962.88895206,8363.732932,7734.96645485,11448.8191193,14371.5440357,10621.2198885,9535.26264214,9830.24544036,7638.46042363,4982.27356745,7722.61587514,5477.98657748,12781.4612598,5860.75651059,11024.0592642,8624.03544036,6723.75798216,3765.10662207,7495.89443701,10179.563835,9346.50768116,7883.69605351,6270.86371237,9536.90500557
7,121.656666667,6.66333333333,33.65,-27.28,12.1633333333,24.2133333333,103.473333333,-3.65,25.3533333333,-28.17,5.63666666667,15.03,96.0066666667,-8.47,14.9933333333,-40.6333333333,-12.5466666667,-15.56,70.7133333333,8.91666666667,47.3766666667,-10.6566666667,2.2,-11.6933333333,90.0166666667,6968.2061427,4497.6822631,8966.56939799,6891.52668896,11532.5317614,14181.0981494,10782.4507915,8529.22491639,10792.8981494,7475.70010033,5010.86754738,6427.51414716,5576.30095875,12330.6111371,6351.67888517,12398.1861761,7963.52624303,7558.30073579,4201.79045708,5652.35089186,10099.8208584,9997.4971126,7993.98662207,5768.78858417,9158.25724638
8,130.05,6.84,33.8966666667,-19.3066666667,9.49666666667,16.78,99.52,-11.8633333333,20.2,-31.0766666667,10.7533333333,11.0733333333,96.0833333333,5.54333333333,16.5466666667,-31.82,-18.9366666667,-19.8033333333,69.0,18.6466666667,54.2233333333,-13.1,-4.11333333333,-10.5233333333,99.8866666667,7464.47575251,4460.54956522,9405.29028986,6235.37052397,12226.1973133,14710.1052843,11156.7989298,8482.36587514,11145.7926421,6949.50246377,4561.95901895,5842.28222965,5365.40105909,11130.449621,6428.4961427,12600.6765217,7358.73510591,8040.17858417,3514.78929766,5120.32289855,8898.02687848,9428.98662207,6930.50216276,5724.7519621,9445.4586845
9,139.22,8.77,38.6666666667,-14.0666666667,13.5433333333,30.4033333333,97.9266666667,-17.5033333333,11.7966666667,-38.7066666667,10.4866666667,7.87666666667,103.87,-7.93666666667,14.9566666667,-41.6233333333,-21.4866666667,-26.2266666667,66.19,12.4633333333,58.1766666667,-16.1533333333,-4.18,-11.7466666667,115.713333333,6454.52,4245.34157191,9160.74470457,6629.58751394,11246.081728,12649.40534,10601.9745373,8944.57858417,11791.6140357,6270.95045708,3899.12691193,4788.28908584,4941.3977592,11394.0662096,4985.70714604,12865.0181828,6494.96637681,6040.71768116,3711.90692308,5269.2996544,9109.93858417,9931.86269788,7272.38889632,5724.57774805,10184.6399554
