generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,50.8833333333,19.5733333333,13.7433333333,-9.23,-14.0966666667,23.26,60.2466666667,3.27333333333,2.79666666667,-4.83333333333,-0.25,-3.15333333333,58.42,-9.85333333333,9.48666666667,-4.86666666667,-8.96666666667,0.116666666667,50.1233333333,15.2766666667,-4.1,-2.77666666667,7.46,7.64666666667,59.08,8555.16025641,7764.07821628,10022.4322297,12347.0138127,10410.9036678,10270.1662876,7122.69480491,8417.51701226,10403.741126,10074.0925307,9507.37876254,9118.99982163,7664.98688963,10069.2292531,10364.8927982,11310.12932,7818.56075808,9142.60507246,6407.49978818,9289.6054738,9604.22408027,7973.37136009,10323.7542475,9183.05199554,8735.57217391
1,72.5566666667,27.6366666667,18.2166666667,-23.59,-15.4566666667,21.99,74.9666666667,0.643333333333,3.29,-2.45333333333,-0.943333333333,5.23,67.1733333333,-11.1966666667,16.24,-1.08666666667,-11.1166666667,2.17333333333,58.76,21.2066666667,-0.42,-6.77666666667,17.7766666667,25.1266666667,79.2633333333,7616.05363434,7376.29229654,11795.8090858,11903.2326756,9642.79744705,11203.0065886,6471.37681159,7393.58139353,8567.14973244,10110.629922,8567.57202899,8146.07735786,6816.13707915,9304.94781494,9064.85190635,12229.9790858,7718.04988852,9004.23072464,5928.16294314,9689.24142698,8674.92,7598.88306577,9887.933233,7813.18791527,7588.863534
2,81.5333333333,22.69,14.88,-25.9533333333,-10.8066666667,25.6933333333,76.7566666667,9.36333333333,-3.10666666667,5.96666666667,-2.28666666667,-1.93,78.38,-22.1733333333,12.97,-2.92,-5.63666666667,7.16333333333,68.2133333333,22.48,-2.44666666667,-6.16,26.59,19.29,86.33,7766.84503902,7308.09421405,9042.52735786,10252.9142029,8212.34376812,11606.1999554,5979.35530658,7159.69028986,9084.69761427,10279.3433668,6380.51955407,6646.68070234,5932.0290301,7606.45814939,8438.00244147,10145.1039465,7011.99798216,8676.23744705,5007.0045039,9065.16013378,8748.53560758,7809.14488294,7707.24605351,7668.12632107,7743.64658863
3,90.8766666667,21.28,26.6533333333,-22.9533333333,-4.83666666667,30.2566666667,87.2966666667,13.71,-3.77333333333,10.7466666667,-0.186666666667,-4.12333333333,80.1733333333,-21.3566666667,12.1566666667,-2.4,4.55666666667,0.153333333333,79.3266666667,20.59,-3.31,-1.44666666667,37.16,32.08,84.6433333333,8443.05831661,7280.70394649,8200.16704571,9401.73025641,7637.76253066,10368.4924303,5149.17925307,6411.03602007,9480.21600892,9957.95567447,6569.65734671,6779.38607581,6027.4012932,7708.31049052,8801.04895206,9940.7090301,6332.93657748,8669.07340022,5469.87286511,8584.82464883,8762.22799331,6622.78978818,7340.23518395,7124.97016722,7883.22687848
4,89.9,23.8133333333,19.3366666667,-29.4233333333,-5.23,37.38,99.14,12.9966666667,-4.35,2.15333333333,-0.816666666667,-6.27666666667,82.92,-21.5466666667,13.03,-17.5033333333,3.31666666667,-1.03666666667,87.96,19.9133333333,0.593333333333,7.35333333333,36.8533333333,34.2133333333,99.1666666667,7906.77926421,7299.73092531,7482.49831661,9640.06433668,7829.20779264,9290.43036789,5896.74956522,5159.10701226,7407.88043478,8567.46804905,6610.90607581,5464.88306577,5300.51531773,7351.713534,7400.81849498,10722.5183835,6121.77564103,7988.57055741,4968.42648829,7251.54430323,7770.32236343,7468.91152731,7398.80115942,7897.47942029,7004.65440357
5,95.9533333333,15.33,20.9433333333,-27.92,-2.94333333333,42.8066666667,111.393333333,5.09,-7.33333333333,-3.23666666667,0.11,0.906666666667,86.0,-17.62,15.62,-18.1166666667,5.07666666667,-6.40666666667,95.3066666667,20.2666666667,3.19666666667,6.26,38.4233333333,33.12,101.64,7251.52958751,6355.21180602,7079.61885173,8306.07384615,6522.02018952,8038.04945373,6145.01534002,4418.0487291,6558.9386845,7111.49898551,5262.9209699,4997.16182832,4876.68896321,7728.28989967,6878.53070234,10395.2672798,5689.06768116,6892.30229654,4131.4374136,7881.90858417,7357.37590858,6906.62113712,8581.35530658,6370.62100334,5906.0438796
6,104.696666667,9.70666666667,9.68333333333,-21.8833333333,-4.44,42.0366666667,118.343333333,2.45,-5.32666666667,1.07,5.29666666667,-2.84333333333,89.4633333333,-21.0833333333,16.8,-15.7266666667,4.78333333333,-7.47666666667,101.893333333,20.37,1.90666666667,11.97,45.8033333333,35.9366666667,109.13,7201.71704571,6561.30497213,6475.47463768,6794.45122631,6354.08,7694.05550725,6041.7512932,4105.56605351,6442.70229654,6863.99173913,5429.14580825,4636.45363434,4402.70433668,8480.68534002,7055.22408027,10563.7043032,5697.26059086,7036.43758082,4001.79460424,8106.52819398,7014.92102564,7509.40043478,7489.29564103,5982.16654404,6422.58839465
7,105.166666667,8.87333333333,8.73333333333,-25.99,-10.87,45.7966666667,127.78,3.65333333333,-6.65,3.7,3.68666666667,-1.33333333333,97.5166666667,-14.5166666667,25.1433333333,-25.8033333333,7.07333333333,-0.49,99.7066666667,22.5566666667,7.77333333333,12.7766666667,54.0466666667,24.6033333333,115.8,7473.05574136,6710.95380156,6483.30657748,6150.8126087,6636.38772575,7671.39329989,6095.64374582,4571.51821628,5524.01421405,6665.79598662,5635.15232999,4563.78149387,4186.24386845,9160.75891862,7830.12988852,10364.39932,5190.15513935,6891.08685619,3835.25814939,8616.78273133,5953.64744705,7282.40814939,8096.49948718,5770.06620959,6285.05016722
8,106.653333333,4.8,12.8666666667,-27.64,-10.8866666667,51.41,135.33,4.53333333333,-6.14333333333,1.57333333333,6.66,0.256666666667,96.4733333333,-5.93666666667,31.4966666667,-26.5833333333,10.4066666667,-0.9,107.99,17.7833333333,6.86666666667,12.3,53.7266666667,22.6566666667,117.843333333,7700.68209588,6475.67892977,6461.09253066,5383.94354515,6853.23125975,8004.24939799,6274.5964214,4415.40022297,5244.41082497,6718.00463768,5184.72013378,4360.13791527,3986.17654404,8666.76186176,7223.20065775,8238.16360089,4896.54978818,6525.92976589,3696.23735786,9505.12681159,5766.04236343,7201.909699,7232.59393534,5949.5506243,5434.48039019
9,107.073333333,6.41666666667,21.4,-28.8033333333,-4.13333333333,54.7633333333,131.63,3.35666666667,-4.27333333333,-4.20666666667,12.6866666667,-5.67666666667,100.32,-10.7966666667,24.31,-24.8033333333,14.0466666667,8.48,109.883333333,17.6833333333,6.33333333333,6.20333333333,58.7466666667,20.1533333333,123.006666667,7821.492932,6561.98968785,7146.18060201,6168.12507246,7253.86176143,8292.27490524,6297.02986622,4523.76199554,4513.93841695,7045.41534002,4923.82122631,3818.80814939,4011.26849498,8726.87824972,7497.0841806,6929.35584169,4736.41921962,6239.96280936,3102.91945373,9831.03316611,6105.90858417,7292.73778149,6355.27340022,6377.50818283,6480.13373467
