generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,54.13,2.42,7.36,12.7866666667,-5.20333333333,11.7766666667,50.1333333333,6.08333333333,1.46,-10.7133333333,-7.92333333333,10.2666666667,48.3166666667,12.7033333333,11.7633333333,4.68,-7.18666666667,-2.70666666667,57.1266666667,0.823333333333,4.55333333333,4.78,-0.45,-1.67,38.82,9388.12016722,9832.51866221,9830.31143813,8813.28544036,10269.9886176,7904.08707915,9264.79152731,12128.9261427,7981.70742475,10330.5998216,12026.0777146,10843.9754738,7765.86928651,11927.6474805,11508.315039,8856.93404682,8408.56704571,11187.0641695,9995.64945373,10607.5305574,10043.0172129,8545.75745819,10511.5794314,8558.61648829,7069.81364548
1,67.1333333333,12.04,-2.3,15.0466666667,3.16666666667,13.9733333333,46.99,-3.9,0.883333333333,-15.6966666667,-10.53,3.08666666667,61.54,13.9166666667,9.28666666667,11.2133333333,-14.5833333333,-11.03,75.24,5.71333333333,-3.82666666667,2.04,3.06666666667,3.73,48.03,8508.23634337,9636.90140468,10019.2943144,8363.46938685,8901.67781494,7085.37052397,8061.61528428,12305.6555184,7764.143534,9068.70701226,10260.2499331,10776.3336009,7971.45993311,11696.2973802,10572.2519955,7219.11821628,7834.11008919,10366.3703344,9340.71812709,10746.1516611,10871.6354069,8274.37966555,10474.309922,8110.23120401,6174.20979933
2,76.0233333333,13.7466666667,-7.09,24.9833333333,3.94666666667,6.46666666667,55.4033333333,-9.93666666667,-4.78666666667,-10.5,-11.0066666667,4.14666666667,60.7466666667,18.3133333333,7.45,14.35,-22.7133333333,-19.08,80.36,9.88,-12.95,5.78,6.92333333333,-5.66,49.95,7733.59477146,9389.24664437,10221.4534114,7926.02982163,9881.76303233,7134.39018952,8324.7364437,12487.450825,8316.75701226,7679.61538462,10531.4046377,8585.17574136,7601.78845039,12672.7376143,11590.562709,6665.35200669,8014.26537347,10344.2678261,9003.10073579,10656.7012709,10691.3520067,7392.62033445,9673.40881828,8504.01779264,5999.02424749
3,83.79,20.7333333333,-5.6,32.3,4.15666666667,4.28,64.2833333333,-13.16,-6.12333333333,-2.88,-12.6533333333,8.98,63.87,17.0,-0.153333333333,11.3533333333,-29.48,-13.7733333333,87.3333333333,4.45666666667,-28.5433333333,16.6966666667,11.1833333333,-2.0,62.08,7294.47414716,10807.5072464,9644.21404682,7509.06688963,9288.64092531,6031.82769231,7422.51811594,13024.7903679,8528.02152731,8523.6109699,11129.8794203,8751.63170569,8325.07,12192.6688963,10797.9630323,6524.11554069,8007.60829431,9813.58724638,8608.08918618,10485.7874136,11026.2757079,7444.93443701,9154.04319955,9219.86622074,6272.40160535
4,86.6033333333,17.02,-1.77333333333,29.0633333333,-3.95333333333,-0.753333333333,67.2633333333,-19.2233333333,-12.0366666667,-1.5,-15.0766666667,19.5966666667,58.38,16.0566666667,1.01333333333,11.7466666667,-30.7666666667,-7.29666666667,88.5833333333,8.40333333333,-35.7666666667,10.47,17.5466666667,-6.67333333333,61.9,6054.56119287,9440.07986622,9602.81132664,7206.00600892,7239.40918618,5456.17975474,8275.18460424,12827.9131661,8868.06219621,9785.06020067,11194.6328986,8737.84012263,8381.91531773,11931.2509588,10404.1269119,6601.19313266,7083.15607581,8361.76788183,7964.73885173,10629.0575139,9170.05908584,7850.74491639,8985.15166109,8658.9096544,5271.18729097
5,84.9966666667,10.1333333333,13.5333333333,25.87,-5.9,-5.09333333333,75.42,-21.3933333333,-10.2466666667,-4.35333333333,-17.1033333333,29.0833333333,64.74,7.36666666667,2.50666666667,18.9866666667,-28.1533333333,-1.58666666667,94.8466666667,4.07333333333,-33.9666666667,16.7133333333,19.6633333333,-3.00333333333,65.5766666667,6077.3009922,9578.00222965,9244.53734671,7241.86598662,6196.41137124,5206.11835006,9376.61230769,12873.9919287,8913.49079153,10936.6239019,11557.8387848,8371.5615942,7605.05591973,10481.6309922,10435.7089855,7338.74898551,7009.8225641,9025.62122631,8145.26738016,9704.88423634,10475.2898551,6730.94764771,8725.06018952,8879.4815942,5189.00748049
6,81.96,7.50666666667,16.1,25.5233333333,-5.76666666667,-6.72666666667,71.4066666667,-17.5633333333,-14.3066666667,2.62,-7.76333333333,27.4466666667,76.56,5.05,-6.35666666667,23.04,-19.6733333333,0.01,100.176666667,2.9,-36.0833333333,14.7066666667,13.5333333333,0.406666666667,66.46,6240.14555184,9727.00664437,9380.27090301,6696.56467113,6505.65774805,5170.95513935,9755.8006243,10775.8856076,8830.46082497,13743.8484281,10092.4688852,8045.72624303,6900.4612709,8585.57943144,9919.52788183,7251.92481605,7000.21400223,8904.52498328,8094.68774805,9315.52842809,10429.4612598,6947.34510591,8652.40356745,8241.45948718,5124.48334448
7,91.47,14.34,15.1233333333,29.1266666667,-4.19,-8.13,75.0433333333,-13.57,-10.1066666667,-7.03333333333,-7.19333333333,27.7566666667,83.2266666667,4.33,-13.2666666667,28.1333333333,-23.13,5.06333333333,104.766666667,-1.33,-27.9433333333,16.97,6.03333333333,2.51666666667,68.9066666667,5161.96899666,9531.74354515,8478.5700223,6317.92370123,6061.5390301,5716.28070234,10305.6870792,10440.1054515,7858.6374136,13365.0958751,10153.81534,8363.48908584,6456.7645039,8497.89408027,8313.24637681,7539.48717949,6883.64525084,8889.32373467,7993.14938685,9366.68337793,11970.2743701,7060.53086957,10086.2530658,7599.50139353,6147.98457079
8,104.336666667,15.0733333333,14.0466666667,27.4733333333,-1.20666666667,-5.74,79.9066666667,-19.91,-7.60333333333,-6.01,-14.3566666667,25.7833333333,87.59,10.27,-9.59666666667,24.1566666667,-25.2233333333,10.44,101.476666667,-6.96666666667,-39.08,19.4366666667,6.29666666667,3.96333333333,72.7166666667,5634.63878484,8453.47955407,8595.00115942,6074.99259755,6318.76651059,5930.49404682,10230.8140022,11294.617291,8556.08627648,11818.8460535,13097.4007915,9478.6719621,6539.62732441,8719.06732441,8417.36520624,6884.55396878,6641.47169454,7901.72548495,7540.91249721,10625.5306577,11575.197592,7230.19998885,8760.60400223,7940.91169454,5471.77564103
9,106.606666667,8.48333333333,17.25,28.2366666667,-6.59333333333,-10.8533333333,80.8566666667,-23.1866666667,-16.8833333333,-7.52,-9.88,14.8866666667,97.0566666667,4.20333333333,-5.83333333333,17.5366666667,-26.6033333333,22.3,107.57,-8.43,-38.5866666667,21.5533333333,7.42333333333,8.84666666667,77.7566666667,5348.22604236,8212.15691193,8390.18812709,5606.89028986,6367.66015608,5646.94831661,11162.6716945,11136.0653735,9501.90942029,12025.8825418,11178.0658194,8706.37507246,7109.15731327,8327.39998885,9638.25306577,6561.25283166,6724.36721293,7371.24749164,7416.94826087,10451.4566221,11998.04932,7399.05734671,7452.47236343,7745.28744705,4942.95396878
